magnesium,iodine,biotin,edible_portion,mercury,vitamin_k1,chromium,potassium,niacin_ne,name,zinc,price,iron,copper,vit_e_a_tocopherol,phosphorus,vitamin_c,thiamin,selenium,protein,calories,o3_epa_dha_dpa,riboflavin,quantity_unit,quantity,folate_dfe,manganese,calcium,vitamin_b6,vitamin_b12,price_100g,molybdenum,vitamin_a_rae,pantothenic_acid
32.0,0.1,0.0,0.66,0.0,0.0,0.0,560.0,1.6,Avocado; flesh; raw; combined varieties,0.72,149.0,0.77,0.26,1.91,52.0,7.3,0.02,0.001,2.0,249.92,0.0,0.12,ea,1.0,0.081,0.21,11.0,0.92,0.0,133,0.0,8.13,0.0
12.28,0.0,0.0,0.7228,0.0,0.00607,0.0,315.0,0.57,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),0.08,599.0,0.21,0.15,1.42,25.2,161.33,0.0,4.4e-4,1.02,56.29,0.0,0.07,kg,1.0,0.03064,0.0476,17.32,0.08,8.0e-5,83,0.0,2.33,0.12
16.22,0.0,0.0006,0.7524,0.0,0.01457,0.0,328.0,0.63,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),0.12,499.0,0.22,0.15,1.65,28.6,149.97,0.0,0.0008,1.27,56.25,0.0,0.11,kg,1.0,0.03842,0.1066,27.0,0.18,0.0002,66,0.0,5.76,0.22
9.8,6.0,0.0,0.8831,0.0,0.0,0.0,210.0,1.05,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,0.2,189.0,0.34,0.04,0.01,24.0,144.0,0.0,0.0,0.94,25.55,0.0,0.14,ea,1.0,0.085,0.12,6.3,0.56,0.0,289,0.0,155.31,0.0
18.0,0.18,0.0,0.7,0.0,0.0,0.0,350.0,1.2,Broccoli; inflorescent vegetable; raw,0.47,179.0,0.6,0.05,0.98,78.0,99.0,0.08,0.005,3.78,26.63,0.0,0.19,ea,1.0,0.049,0.22,33.0,0.33,0.0,170,0.0,105.21,0.0
0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Oil; olive,0.04,699.0,0.38,0.0,5.1,1.0,0.0,0.0,0.0,0.0,897.2,0.0,0.0,ml,250.0,0.0,0.0,0.18,0.0,0.0,280,0.0,0.0,0.0
31.0,8.4,0.0,1.0,0.0,0.1361,0.0,400.0,0.73,Salad; leafy vegetable; raw; Mesclun; composite,0.37,399.0,1.11,0.06,0.0,37.0,4.4,0.0,0.0,2.5,12.7,0.001,0.25,g,130.0,0.157,0.63,150.0,0.31,0.0,307,0.0,481.63,0.0
74.0,11.4,0.0,0.8692,0.0,0.1148,0.0,710.0,1.01,Spinach; leafy vegetable; raw; English,0.62,399.0,4.4,0.07,0.0,47.0,2.9,0.0,0.0,2.5,13.6,0.001,0.24,g,400.0,0.199,0.74,69.0,0.16,0.0,115,0.0,403.14,0.0
10.41,0.83,0.0,1.0,0.0,0.03834,0.0,426.32,0.18,Celery; stem vegetable; stalk; stir fried; green; American Green,0.08,549.0,0.14,0.02,0.78,30.09,0.75,0.01,0.0,0.68,31.73,0.0,0.05,ea,1.0,0.0,0.10658,47.65,0.07,0.0,153,0.0,11.8,0.31
30.0,39.3,0.0034,0.44,0.0,0.0,0.0,22.0,1.9,Crabmeat; in brine; canned,8.1,589.0,0.9,0.79,2.25,190.0,0.0,0.0,0.045,11.13,52.6,0.0,0.0,g,170.0,0.029,0.19,153.0,0.1,3.1e-4,787,0.0,5.85,0.24
19.14,1.25,0.0,0.91,0.0,0.0,0.0,188.52,7.03,Beef; forequarter chuck steak; separable lean; braised,7.81,1087.0,2.71,0.1,0.9,156.96,0.0,0.03,0.00208,32.08,208.31,0.07200000000000001,0.14,kg,1.0,0.00594,0.01038,5.85,0.15,0.00197,119,0.0,12.16,0.0
14.0,0.28,0.0,1.0,0.0,0.0,0.0,260.0,1.49,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,0.24,299.0,0.33,0.09,0.06,28.0,9.0,0.02,4.7e-4,1.41,62.68,0.0,0.02,kg,1.0,0.0141,0.13,2.7,0.16,0.0,30,0.0,1.17,0.0
