mercury,chromium,copper,price_100g,pantothenic_acid,folate_dfe,iodine,name,potassium,magnesium,calcium,phosphorus,zinc,vitamin_b12,vitamin_k1,biotin,o3_epa_dha_dpa,manganese,vitamin_c,quantity,edible_portion,calories,iron,vitamin_a_rae,niacin_ne,vit_e_a_tocopherol,protein,vitamin_b6,molybdenum,price,quantity_unit,selenium,thiamin,riboflavin
0.0,0.0,0.24,104,0.0,0.0,2.0,Tomato; paste; canned; composite,900.0,41.0,35.0,70.0,0.38,0.0,0.0114,0.0,0.001,0.22,8.3,280.0,1.0,60.75,0.99,162.83,2.49,3.48,3.56,2.09,0.0,290.0,g,0.0009,0.14,0.24
0.0,0.0,0.03,170,0.0,0.0,0.24,Chicken; mince; pan fried; with no added fat; premium; Tegal,445.68,34.62,6.35,305.61,1.05,2.3e-4,0.0,0.0,0.005,0.01592,0.0,1.0,1.0,185.67,0.46,7.88,15.86,0.97,34.65,1.06,0.0,1699.0,kg,0.03343,0.16,0.24
0.0,0.0,0.26,133,0.0,0.081,0.1,Avocado; flesh; raw; combined varieties,560.0,32.0,11.0,52.0,0.72,0.0,0.0,0.0,0.0,0.21,7.3,1.0,0.66,249.92,0.77,8.13,1.6,1.91,2.0,0.92,0.0,149.0,ea,0.001,0.02,0.12
0.0,0.0,0.15,83,0.12,0.03064,0.0,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),315.0,12.28,17.32,25.2,0.08,8.0e-5,0.00607,0.0,0.0,0.0476,161.33,1.0,0.7228,56.29,0.21,2.33,0.57,1.42,1.02,0.08,0.0,599.0,kg,4.4e-4,0.0,0.07
0.0,0.0,0.15,66,0.22,0.03842,0.0,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),328.0,16.22,27.0,28.6,0.12,0.0002,0.01457,0.0006,0.0,0.1066,149.97,1.0,0.7524,56.25,0.22,5.76,0.63,1.65,1.27,0.18,0.0,499.0,kg,0.0008,0.0,0.11
0.0,0.0,0.04,289,0.0,0.085,6.0,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,210.0,9.8,6.3,24.0,0.2,0.0,0.0,0.0,0.0,0.12,144.0,1.0,0.8831,25.55,0.34,155.31,1.05,0.01,0.94,0.56,0.0,189.0,ea,0.0,0.0,0.14
0.0,0.0,0.05,170,0.0,0.049,0.18,Broccoli; inflorescent vegetable; raw,350.0,18.0,33.0,78.0,0.47,0.0,0.0,0.0,0.0,0.22,99.0,1.0,0.7,26.63,0.6,105.21,1.2,0.98,3.78,0.33,0.0,179.0,ea,0.005,0.08,0.19
0.0,0.0,0.0,280,0.0,0.0,0.5,Oil; olive,0.0,0.0,0.18,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1.0,897.2,0.38,0.0,0.0,5.1,0.0,0.0,0.0,699.0,ml,0.0,0.0,0.0
0.0,0.0,0.06,307,0.0,0.157,8.4,Salad; leafy vegetable; raw; Mesclun; composite,400.0,31.0,150.0,37.0,0.37,0.0,0.1361,0.0,0.001,0.63,4.4,130.0,1.0,12.7,1.11,481.63,0.73,0.0,2.5,0.31,0.0,399.0,g,0.0,0.0,0.25
0.0,0.0,0.07,115,0.0,0.199,11.4,Spinach; leafy vegetable; raw; English,710.0,74.0,69.0,47.0,0.62,0.0,0.1148,0.0,0.001,0.74,2.9,400.0,0.8692,13.6,4.4,403.14,1.01,0.0,2.5,0.16,0.0,399.0,g,0.0,0.0,0.24
0.0,0.0,0.02,153,0.31,0.0,0.83,Celery; stem vegetable; stalk; stir fried; green; American Green,426.32,10.41,47.65,30.09,0.08,0.0,0.03834,0.0,0.0,0.10658,0.75,1.0,1.0,31.73,0.14,11.8,0.18,0.78,0.68,0.07,0.0,549.0,ea,0.0,0.01,0.05
0.0,0.0,0.79,787,0.24,0.029,39.3,Crabmeat; in brine; canned,22.0,30.0,153.0,190.0,8.1,3.1e-4,0.0,0.0034,0.0,0.19,0.0,170.0,0.44,52.6,0.9,5.85,1.9,2.25,11.13,0.1,0.0,589.0,g,0.045,0.0,0.0
0.0,0.0,0.1,119,0.0,0.00594,1.25,Beef; forequarter chuck steak; separable lean; braised,188.52,19.14,5.85,156.96,7.81,0.00197,0.0,0.0,0.072,0.01038,0.0,1.0,0.91,208.31,2.71,12.16,7.03,0.9,32.08,0.15,0.0,1087.0,kg,0.00208,0.03,0.14
0.0,0.0,0.09,30,0.0,0.0141,0.28,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,260.0,14.0,2.7,28.0,0.24,0.0,0.0,0.0,0.0,0.13,9.0,1.0,1.0,62.68,0.33,1.17,1.49,0.06,1.41,0.16,0.0,299.0,kg,4.7e-4,0.02,0.02
