quantity,riboflavin,chromium,o3_epa_dha_dpa,name,molybdenum,vitamin_k1,potassium,manganese,iodine,niacin_ne,quantity_unit,vitamin_c,mercury,copper,vitamin_b6,calories,vitamin_b12,price,biotin,thiamin,iron,price_100g,folate_dfe,vit_e_a_tocopherol,zinc,pantothenic_acid,calcium,protein,id,magnesium,edible_portion,phosphorus,selenium,vitamin_a_rae
28.0,0.23,0.0,0.0,Spice; turmeric; ground,0.0,0.0,2530.0,7.83,2.3,6.44,g,25.9,0.0,0.6,1.8,280.13,0.0,300.0,0.0,0.15,41.4,1071,0.039,3.15,4.35,0.0,183.0,7.81,51,193.0,1.0,268.0,0.0045,0.0
28.0,0.33,0.0,0.0,Seed; cumin,0.0,0.0,1790.0,3.33,13.6,7.55,g,7.71,0.0,0.87,0.34,376.08,0.0,399.0,0.0,0.63,66.4,1425,0.01,3.33,4.8,0.0,931.0,17.81,25,366.0,1.0,499.0,0.0052,127.25
32.0,0.14,0.0,0.0,Spice; cinnamon; ground,0.0,0.0,500.0,17.466,0.1,1.61,g,28.5,0.0,0.23,0.25,146.15,0.0,200.0,0.0,0.08,38.1,625,0.006,3.36,1.97,0.0,1230.0,3.89,6,55.6,1.0,61.4,0.015,19.21
280.0,0.24,0.0,0.001,Tomato; paste; canned; composite,0.0,0.0114,900.0,0.22,2.0,2.49,g,8.3,0.0,0.24,2.09,60.75,0.0,290.0,0.0,0.14,0.99,104,0.0,3.48,0.38,0.0,35.0,3.56,65,41.0,1.0,70.0,0.0009,162.83
500.0,0.14,0.0,0.0,Peanut butter; smooth & crunchy salt added; no sugar added,0.018,0.0,480.0,1.3,3.0,22.75,g,0.0,0.0,0.48,0.05,571.66,0.0,470.0,0.098,0.0,1.4,94,0.081,3.85,1.8,1.5,32.0,28.81,3,130.0,1.0,320.0,0.01095,0.84
250.0,0.0,0.0,0.0,Oil; olive,0.0,0.0,0.0,0.0,0.5,0.0,ml,0.0,0.0,0.0,0.0,897.2,0.0,699.0,0.0,0.0,0.38,280,0.0,5.1,0.04,0.0,0.18,0.0,72,0.0,1.0,1.0,0.0,0.0
57.0,0.0,0.0,0.0,Powder; mustard,0.0,0.0,940.0,1.9,4.5,11.4,g,0.0,0.0,0.2,0.0,449.8,0.0,349.0,0.0,1.3,10.9,612,0.162,5.74,6.5,0.0,330.0,28.88,58,260.0,1.0,180.0,0.1336,5.85
115.0,0.13,0.0,0.0,Nut; pecan; dried; raw,0.0,0.0,392.0,4.51,2.3,1.77,g,2.0,0.0,1.18,0.19,694.55,0.0,499.0,0.0,0.85,2.13,434,0.022,6.64,5.47,1.71,36.0,7.74,59,128.0,1.0,291.0,0.0053,4.18
1.0,0.15,0.0,0.0,Nut; peanut; roasted; no salt added,0.0,0.0,540.0,1.59,0.74,22.8,kg,0.0,0.0,0.5,0.3,622.98,0.0,600.0,0.13,0.35,1.2,60,0.145,6.93,2.4,1.7,31.0,24.99,2,180.0,1.0,388.0,0.0046,0.67
175.0,0.12,0.0,0.0,Nut; brazilnut; raw,0.0,0.0,760.0,0.761,20.0,4.31,g,0.7,0.0,1.1,0.17,676.82,0.0,549.0,0.011,1.0,2.8,697,0.022,7.18,4.2,0.23,180.0,11.96,29,410.0,0.45,590.0,1.27,1.5
